usertw,datetw,followers
sergio_fajardo,2022-05-03 08:00:33.428775,1650059
AlvaroUribeVel,2022-05-04 08:00:37.247074,5011528
petrogustavo,2022-05-04 08:00:37.247074,4832741
FicoGutierrez,2022-05-04 08:00:37.247074,866526
FranciaMarquezM,2022-05-04 08:00:37.247074,408268
Enrique_GomezM,2022-05-04 08:00:37.247074,34065
EnriquePenalosa,2022-05-04 08:00:37.247074,1986637
ingrodolfohdez,2022-05-04 08:00:37.247074,149922
ZelenskyyUa,2022-05-04 08:00:37.247074,6180807
German_Vargas,2022-05-04 08:00:37.247074,879619
UCompensar,2022-05-04 08:00:37.247074,7174
sergio_fajardo,2022-05-04 08:00:37.247074,1650599
realamberheard,2022-05-04 19:48:19.144632,209928
AlvaroUribeVel,2022-05-05 08:00:21.117298,5012209
petrogustavo,2022-05-05 08:00:21.117298,4835063
FicoGutierrez,2022-05-05 08:00:21.117298,867759
FranciaMarquezM,2022-05-05 08:00:21.117298,409665
Enrique_GomezM,2022-05-05 08:00:21.117298,34188
EnriquePenalosa,2022-05-05 08:00:21.117298,1986887
ingrodolfohdez,2022-05-05 08:00:21.117298,151315
ZelenskyyUa,2022-05-05 08:00:21.117298,6186754
German_Vargas,2022-05-05 08:00:21.117298,879652
UCompensar,2022-05-05 08:00:21.117298,7175
sergio_fajardo,2022-05-05 08:00:21.117298,1650932
realamberheard,2022-05-05 08:00:21.117298,210857
ZelenskyyUa,2022-05-06 08:00:32.755003,6193457
German_Vargas,2022-05-06 08:00:32.755003,879738
UCompensar,2022-05-06 08:00:32.755003,7175
sergio_fajardo,2022-05-06 08:00:32.755003,1651442
AlvaroUribeVel,2022-05-06 08:00:32.755003,5012982
petrogustavo,2022-05-06 08:00:32.755003,4838215
FicoGutierrez,2022-05-06 08:00:32.755003,869320
FranciaMarquezM,2022-05-06 08:00:32.755003,411126
Enrique_GomezM,2022-05-06 08:00:32.755003,34289
EnriquePenalosa,2022-05-06 08:00:32.755003,1987271
ingrodolfohdez,2022-05-06 08:00:32.755003,153767
realamberheard,2022-05-06 08:00:32.755003,212759
AlvaroUribeVel,2022-05-07 08:00:18.075785,5013912
petrogustavo,2022-05-07 08:00:18.075785,4841860
FicoGutierrez,2022-05-07 08:00:18.075785,870731
FranciaMarquezM,2022-05-07 08:00:18.075785,412855
Enrique_GomezM,2022-05-07 08:00:18.075785,34377
EnriquePenalosa,2022-05-07 08:00:18.075785,1987539
ingrodolfohdez,2022-05-07 08:00:18.075785,164183
ZelenskyyUa,2022-05-07 08:00:18.075785,6198865
German_Vargas,2022-05-07 08:00:18.075785,879784
UCompensar,2022-05-07 08:00:18.075785,7176
sergio_fajardo,2022-05-07 08:00:18.075785,1651904
realamberheard,2022-05-07 08:00:18.075785,214387
AlvaroUribeVel,2022-05-08 08:00:13.241442,5015083
petrogustavo,2022-05-08 08:00:13.241442,4845557
FicoGutierrez,2022-05-08 08:00:13.241442,872131
FranciaMarquezM,2022-05-08 08:00:13.241442,414527
Enrique_GomezM,2022-05-08 08:00:13.241442,34430
EnriquePenalosa,2022-05-08 08:00:13.241442,1987780
ingrodolfohdez,2022-05-08 08:00:13.241442,166902
ZelenskyyUa,2022-05-08 08:00:13.241442,6203601
German_Vargas,2022-05-08 08:00:13.241442,879852
UCompensar,2022-05-08 08:00:13.241442,7176
sergio_fajardo,2022-05-08 08:00:13.241442,1652379
realamberheard,2022-05-08 08:00:13.241442,215520
AlvaroUribeVel,2022-05-09 08:00:26.195295,5015787
petrogustavo,2022-05-09 08:00:26.195295,4848274
FicoGutierrez,2022-05-09 08:00:26.195295,873507
FranciaMarquezM,2022-05-09 08:00:26.195295,415816
Enrique_GomezM,2022-05-09 08:00:26.195295,34461
EnriquePenalosa,2022-05-09 08:00:26.195295,1988016
ingrodolfohdez,2022-05-09 08:00:26.195295,168532
ZelenskyyUa,2022-05-09 08:00:26.195295,6210888
German_Vargas,2022-05-09 08:00:26.195295,879898
UCompensar,2022-05-09 08:00:26.195295,7178
sergio_fajardo,2022-05-09 08:00:26.195295,1652915
realamberheard,2022-05-09 08:00:26.195295,216357
AlvaroUribeVel,2022-05-10 08:00:23.690927,5016585
petrogustavo,2022-05-10 08:00:23.690927,4851365
FicoGutierrez,2022-05-10 08:00:23.690927,875089
FranciaMarquezM,2022-05-10 08:00:23.690927,417166
Enrique_GomezM,2022-05-10 08:00:23.690927,34535
EnriquePenalosa,2022-05-10 08:00:23.690927,1988241
ingrodolfohdez,2022-05-10 08:00:23.690927,170618
ZelenskyyUa,2022-05-10 08:00:23.690927,6216512
German_Vargas,2022-05-10 08:00:23.690927,879998
UCompensar,2022-05-10 08:00:23.690927,7177
sergio_fajardo,2022-05-10 08:00:23.690927,1653587
realamberheard,2022-05-10 08:00:23.690927,217076
AlvaroUribeVel,2022-05-11 08:00:44.693278,5017738
petrogustavo,2022-05-11 08:00:44.693278,4855868
FicoGutierrez,2022-05-11 08:00:44.693278,877228
FranciaMarquezM,2022-05-11 08:00:44.693278,418974
Enrique_GomezM,2022-05-11 08:00:44.693278,34581
EnriquePenalosa,2022-05-11 08:00:44.693278,1988601
ingrodolfohdez,2022-05-11 08:00:44.693278,172332
ZelenskyyUa,2022-05-11 08:00:44.693278,6222335
German_Vargas,2022-05-11 08:00:44.693278,880147
UCompensar,2022-05-11 08:00:44.693278,7177
sergio_fajardo,2022-05-11 08:00:44.693278,1654174
realamberheard,2022-05-11 08:00:44.693278,217800
marcollinasvolp,2022-05-11 15:12:59.040071,309
AlvaroUribeVel,2022-05-12 08:00:18.571540,5019155
petrogustavo,2022-05-12 08:00:18.571540,4860966
FicoGutierrez,2022-05-12 08:00:18.571540,879175
FranciaMarquezM,2022-05-12 08:00:18.571540,420882
Enrique_GomezM,2022-05-12 08:00:18.571540,34626
EnriquePenalosa,2022-05-12 08:00:18.571540,1988940
ingrodolfohdez,2022-05-12 08:00:18.571540,173596
ZelenskyyUa,2022-05-12 08:00:18.571540,6230175
German_Vargas,2022-05-12 08:00:18.571540,880214
UCompensar,2022-05-12 08:00:18.571540,7178
sergio_fajardo,2022-05-12 08:00:18.571540,1654975
realamberheard,2022-05-12 08:00:18.571540,218481
marcollinasvolp,2022-05-12 08:00:18.571540,310
AlvaroUribeVel,2022-05-13 08:00:23.339463,5020128
petrogustavo,2022-05-13 08:00:23.339463,4864762
FicoGutierrez,2022-05-13 08:00:23.339463,880690
FranciaMarquezM,2022-05-13 08:00:23.339463,422573
Enrique_GomezM,2022-05-13 08:00:23.339463,34779
EnriquePenalosa,2022-05-13 08:00:23.339463,1989174
ingrodolfohdez,2022-05-13 08:00:23.339463,174714
ZelenskyyUa,2022-05-13 08:00:23.339463,6236247
German_Vargas,2022-05-13 08:00:23.339463,880263
UCompensar,2022-05-13 08:00:23.339463,7180
sergio_fajardo,2022-05-13 08:00:23.339463,1655394
realamberheard,2022-05-13 08:00:23.339463,218998
marcollinasvolp,2022-05-13 08:00:23.339463,310
AlvaroUribeVel,2022-05-14 08:00:39.786612,5021025
petrogustavo,2022-05-14 08:00:39.786612,4868323
FicoGutierrez,2022-05-14 08:00:39.786612,882362
FranciaMarquezM,2022-05-14 08:00:39.786612,424010
Enrique_GomezM,2022-05-14 08:00:39.786612,34940
EnriquePenalosa,2022-05-14 08:00:39.786612,1989393
ingrodolfohdez,2022-05-14 08:00:39.786612,176065
ZelenskyyUa,2022-05-14 08:00:39.786612,6242291
German_Vargas,2022-05-14 08:00:39.786612,880324
UCompensar,2022-05-14 08:00:39.786612,7181
sergio_fajardo,2022-05-14 08:00:39.786612,1655722
realamberheard,2022-05-14 08:00:39.786612,219511
marcollinasvolp,2022-05-14 08:00:39.786612,310
AlvaroUribeVel,2022-05-15 08:00:19.220318,5022171
petrogustavo,2022-05-15 08:00:19.220318,4871616
FicoGutierrez,2022-05-15 08:00:19.220318,883896
FranciaMarquezM,2022-05-15 08:00:19.220318,425135
Enrique_GomezM,2022-05-15 08:00:19.220318,35011
EnriquePenalosa,2022-05-15 08:00:19.220318,1989636
ingrodolfohdez,2022-05-15 08:00:19.220318,177146
ZelenskyyUa,2022-05-15 08:00:19.220318,6249671
German_Vargas,2022-05-15 08:00:19.220318,880413
UCompensar,2022-05-15 08:00:19.220318,7181
sergio_fajardo,2022-05-15 08:00:19.220318,1656105
realamberheard,2022-05-15 08:00:19.220318,219973
marcollinasvolp,2022-05-15 08:00:19.220318,310
AlvaroUribeVel,2022-05-16 08:00:36.456694,5023137
petrogustavo,2022-05-16 08:00:36.456694,4875566
FicoGutierrez,2022-05-16 08:00:36.456694,885561
FranciaMarquezM,2022-05-16 08:00:36.456694,427006
Enrique_GomezM,2022-05-16 08:00:36.456694,35074
ingrodolfohdez,2022-05-16 08:00:36.456694,178876
German_Vargas,2022-05-16 08:00:36.456694,880472
UCompensar,2022-05-16 08:00:36.456694,7180
realamberheard,2022-05-16 08:00:36.456694,220454
EnriquePenalosa,2022-05-16 08:00:36.456694,1989847
ZelenskyyUa,2022-05-16 08:00:36.456694,6255409
sergio_fajardo,2022-05-16 08:00:36.456694,1656476
marcollinasvolp,2022-05-16 08:00:36.456694,310
AlvaroUribeVel,2022-05-17 08:00:24.916108,5023856
petrogustavo,2022-05-17 08:00:24.916108,4879356
FicoGutierrez,2022-05-17 08:00:24.916108,886841
FranciaMarquezM,2022-05-17 08:00:24.916108,428808
Enrique_GomezM,2022-05-17 08:00:24.916108,35207
EnriquePenalosa,2022-05-17 08:00:24.916108,1990030
ingrodolfohdez,2022-05-17 08:00:24.916108,181128
ZelenskyyUa,2022-05-17 08:00:24.916108,6260251
German_Vargas,2022-05-17 08:00:24.916108,880547
UCompensar,2022-05-17 08:00:24.916108,7180
sergio_fajardo,2022-05-17 08:00:24.916108,1656844
realamberheard,2022-05-17 08:00:24.916108,221858
marcollinasvolp,2022-05-17 08:00:24.916108,310
JohnMiltonR_,2022-05-18 01:04:21.562602,41969
AlvaroUribeVel,2022-05-18 08:00:24.460233,5024568
petrogustavo,2022-05-18 08:00:24.460233,4882365
FicoGutierrez,2022-05-18 08:00:24.460233,888413
FranciaMarquezM,2022-05-18 08:00:24.460233,430566
Enrique_GomezM,2022-05-18 08:00:24.460233,35347
EnriquePenalosa,2022-05-18 08:00:24.460233,1990192
ingrodolfohdez,2022-05-18 08:00:24.460233,184528
ZelenskyyUa,2022-05-18 08:00:24.460233,6263892
German_Vargas,2022-05-18 08:00:24.460233,880611
UCompensar,2022-05-18 08:00:24.460233,7179
sergio_fajardo,2022-05-18 08:00:24.460233,1657150
realamberheard,2022-05-18 08:00:24.460233,224736
marcollinasvolp,2022-05-18 08:00:24.460233,310
JohnMiltonR_,2022-05-18 08:00:24.460233,41985
AlvaroUribeVel,2022-05-19 08:00:39.880193,5025491
petrogustavo,2022-05-19 08:00:39.880193,4886695
FicoGutierrez,2022-05-19 08:00:39.880193,890439
FranciaMarquezM,2022-05-19 08:00:39.880193,432090
Enrique_GomezM,2022-05-19 08:00:39.880193,35486
EnriquePenalosa,2022-05-19 08:00:39.880193,1990433
ingrodolfohdez,2022-05-19 08:00:39.880193,189207
ZelenskyyUa,2022-05-19 08:00:39.880193,6268186
German_Vargas,2022-05-19 08:00:39.880193,880663
UCompensar,2022-05-19 08:00:39.880193,7178
sergio_fajardo,2022-05-19 08:00:39.880193,1657588
realamberheard,2022-05-19 08:00:39.880193,226685
marcollinasvolp,2022-05-19 08:00:39.880193,310
JohnMiltonR_,2022-05-19 08:00:39.880193,42030
AlvaroUribeVel,2022-05-20 08:00:31.905501,5026204
petrogustavo,2022-05-20 08:00:31.905501,4889933
FicoGutierrez,2022-05-20 08:00:31.905501,892027
FranciaMarquezM,2022-05-20 08:00:31.905501,433402
Enrique_GomezM,2022-05-20 08:00:31.905501,35635
EnriquePenalosa,2022-05-20 08:00:31.905501,1990633
ingrodolfohdez,2022-05-20 08:00:31.905501,195099
ZelenskyyUa,2022-05-20 08:00:31.905501,6270777
German_Vargas,2022-05-20 08:00:31.905501,880729
UCompensar,2022-05-20 08:00:31.905501,7179
sergio_fajardo,2022-05-20 08:00:31.905501,1657963
realamberheard,2022-05-20 08:00:31.905501,228476
marcollinasvolp,2022-05-20 08:00:31.905501,310
JohnMiltonR_,2022-05-20 08:00:31.905501,42065
AlvaroUribeVel,2022-05-21 08:00:28.901877,5026963
petrogustavo,2022-05-21 08:00:28.901877,4893291
FicoGutierrez,2022-05-21 08:00:28.901877,893362
FranciaMarquezM,2022-05-21 08:00:28.901877,434733
Enrique_GomezM,2022-05-21 08:00:28.901877,35769
EnriquePenalosa,2022-05-21 08:00:28.901877,1990822
ingrodolfohdez,2022-05-21 08:00:28.901877,201480
ZelenskyyUa,2022-05-21 08:00:28.901877,6274299
German_Vargas,2022-05-21 08:00:28.901877,880846
UCompensar,2022-05-21 08:00:28.901877,7181
sergio_fajardo,2022-05-21 08:00:28.901877,1658346
realamberheard,2022-05-21 08:00:28.901877,229809
marcollinasvolp,2022-05-21 08:00:28.901877,310
JohnMiltonR_,2022-05-21 08:00:28.901877,42092
AlvaroUribeVel,2022-05-22 08:00:34.874249,5027778
petrogustavo,2022-05-22 08:00:34.874249,4896879
FicoGutierrez,2022-05-22 08:00:34.874249,894607
FranciaMarquezM,2022-05-22 08:00:34.874249,436628
Enrique_GomezM,2022-05-22 08:00:34.874249,35921
EnriquePenalosa,2022-05-22 08:00:34.874249,1990964
ingrodolfohdez,2022-05-22 08:00:34.874249,204277
ZelenskyyUa,2022-05-22 08:00:34.874249,6278315
German_Vargas,2022-05-22 08:00:34.874249,880947
UCompensar,2022-05-22 08:00:34.874249,7181
sergio_fajardo,2022-05-22 08:00:34.874249,1658632
realamberheard,2022-05-22 08:00:34.874249,231025
marcollinasvolp,2022-05-22 08:00:34.874249,310
JohnMiltonR_,2022-05-22 08:00:34.874249,42136
AlvaroUribeVel,2022-05-23 08:00:25.072805,5028832
petrogustavo,2022-05-23 08:00:25.072805,4901445
FicoGutierrez,2022-05-23 08:00:25.072805,896180
FranciaMarquezM,2022-05-23 08:00:25.072805,439466
Enrique_GomezM,2022-05-23 08:00:25.072805,36151
EnriquePenalosa,2022-05-23 08:00:25.072805,1991172
ingrodolfohdez,2022-05-23 08:00:25.072805,207823
ZelenskyyUa,2022-05-23 08:00:25.072805,6281821
German_Vargas,2022-05-23 08:00:25.072805,881035
UCompensar,2022-05-23 08:00:25.072805,7180
sergio_fajardo,2022-05-23 08:00:25.072805,1659138
realamberheard,2022-05-23 08:00:25.072805,232083
marcollinasvolp,2022-05-23 08:00:25.072805,310
JohnMiltonR_,2022-05-23 08:00:25.072805,42194
AlvaroUribeVel,2022-05-24 08:00:39.105406,5029967
petrogustavo,2022-05-24 08:00:39.105406,4906558
FicoGutierrez,2022-05-24 08:00:39.105406,898029
FranciaMarquezM,2022-05-24 08:00:39.105406,441638
Enrique_GomezM,2022-05-24 08:00:39.105406,36428
EnriquePenalosa,2022-05-24 08:00:39.105406,1991488
ingrodolfohdez,2022-05-24 08:00:39.105406,213036
ZelenskyyUa,2022-05-24 08:00:39.105406,6284527
German_Vargas,2022-05-24 08:00:39.105406,881121
UCompensar,2022-05-24 08:00:39.105406,7183
sergio_fajardo,2022-05-24 08:00:39.105406,1659950
realamberheard,2022-05-24 08:00:39.105406,233326
marcollinasvolp,2022-05-24 08:00:39.105406,311
JohnMiltonR_,2022-05-24 08:00:39.105406,42252
AlvaroUribeVel,2022-05-25 08:00:34.551085,5031319
petrogustavo,2022-05-25 08:00:34.551085,4910968
FicoGutierrez,2022-05-25 08:00:34.551085,899729
FranciaMarquezM,2022-05-25 08:00:34.551085,443326
Enrique_GomezM,2022-05-25 08:00:34.551085,36639
EnriquePenalosa,2022-05-25 08:00:34.551085,1991761
ingrodolfohdez,2022-05-25 08:00:34.551085,216026
ZelenskyyUa,2022-05-25 08:00:34.551085,6287690
German_Vargas,2022-05-25 08:00:34.551085,881235
UCompensar,2022-05-25 08:00:34.551085,7185
sergio_fajardo,2022-05-25 08:00:34.551085,1661048
realamberheard,2022-05-25 08:00:34.551085,234647
marcollinasvolp,2022-05-25 08:00:34.551085,311
JohnMiltonR_,2022-05-25 08:00:34.551085,42356
AlvaroUribeVel,2022-05-26 08:00:35.718568,5031912
petrogustavo,2022-05-26 08:00:35.718568,4914930
FicoGutierrez,2022-05-26 08:00:35.718568,901146
FranciaMarquezM,2022-05-26 08:00:35.718568,445131
Enrique_GomezM,2022-05-26 08:00:35.718568,36853
EnriquePenalosa,2022-05-26 08:00:35.718568,1991853
ingrodolfohdez,2022-05-26 08:00:35.718568,217615
ZelenskyyUa,2022-05-26 08:00:35.718568,6292262
German_Vargas,2022-05-26 08:00:35.718568,881212
UCompensar,2022-05-26 08:00:35.718568,7186
sergio_fajardo,2022-05-26 08:00:35.718568,1661608
realamberheard,2022-05-26 08:00:35.718568,235619
marcollinasvolp,2022-05-26 08:00:35.718568,311
JohnMiltonR_,2022-05-26 08:00:35.718568,42434
AlvaroUribeVel,2022-05-27 08:00:44.603357,5032936
petrogustavo,2022-05-27 08:00:44.603357,4919153
FicoGutierrez,2022-05-27 08:00:44.603357,902659
FranciaMarquezM,2022-05-27 08:00:44.603357,446756
Enrique_GomezM,2022-05-27 08:00:44.603357,37026
EnriquePenalosa,2022-05-27 08:00:44.603357,1992105
ingrodolfohdez,2022-05-27 08:00:44.603357,219217
ZelenskyyUa,2022-05-27 08:00:44.603357,6295487
German_Vargas,2022-05-27 08:00:44.603357,881302
UCompensar,2022-05-27 08:00:44.603357,7185
sergio_fajardo,2022-05-27 08:00:44.603357,1662163
realamberheard,2022-05-27 08:00:44.603357,237649
marcollinasvolp,2022-05-27 08:00:44.603357,313
JohnMiltonR_,2022-05-27 08:00:44.603357,42487
AlvaroUribeVel,2022-05-28 08:00:42.892915,5033824
petrogustavo,2022-05-28 08:00:42.892915,4924155
FicoGutierrez,2022-05-28 08:00:42.892915,904037
FranciaMarquezM,2022-05-28 08:00:42.892915,448785
Enrique_GomezM,2022-05-28 08:00:42.892915,37122
EnriquePenalosa,2022-05-28 08:00:42.892915,1992318
ingrodolfohdez,2022-05-28 08:00:42.892915,220343
ZelenskyyUa,2022-05-28 08:00:42.892915,6298392
German_Vargas,2022-05-28 08:00:42.892915,881474
UCompensar,2022-05-28 08:00:42.892915,7187
sergio_fajardo,2022-05-28 08:00:42.892915,1662944
realamberheard,2022-05-28 08:00:42.892915,241036
marcollinasvolp,2022-05-28 08:00:42.892915,313
JohnMiltonR_,2022-05-28 08:00:42.892915,42578
AlvaroUribeVel,2022-05-29 08:00:39.785048,5034743
petrogustavo,2022-05-29 08:00:39.785048,4929235
FicoGutierrez,2022-05-29 08:00:39.785048,905423
FranciaMarquezM,2022-05-29 08:00:39.785048,451043
